date,total_hosp,total_rea,new_hosp,new_dc,new_cases,roll_cases,roll_hosp,roll_dc
2021-03-10,24969,3918,1574,266,30303,21835.571428571428,1388.5714285714287,251.71428571428572
2021-03-11,24858,3992,1609,266,27166,22105.14285714286,1398.7142857142858,247.57142857142858
2021-03-12,24749,4033,1448,228,25229,22351.14285714286,1406,246
2021-03-13,24671,4070,1087,174,29759,23273,1404.5714285714287,246.14285714285714
2021-03-14,24989,4127,821,140,26343,23918.428571428572,1419,247.57142857142858
2021-03-15,25469,4219,1676,333,6471,24081.85714285714,1432.142857142857,243.71428571428572
2021-03-16,25492,4239,2005,320,29975,25035.14285714286,1460,246.71428571428572
2021-03-17,25314,4219,1745,246,38501,26206.285714285714,1484.4285714285713,243.85714285714286
2021-03-18,25389,4246,1661,273,34998,27325.14285714286,1491.857142857143,244.85714285714286
2021-03-19,25339,4287,1699,297,35088,28733.571428571428,1527.7142857142858,254.71428571428572
2021-03-20,25537,4353,1348,185,35327,29529,1565,256.2857142857143
2021-03-21,25926,4406,926,138,30581,30134.428571428572,1580,256
2021-03-22,26488,4548,1902,344,15792,31466,1612.2857142857142,257.57142857142856
2021-03-23,26756,4634,2286,292,14678,29280.714285714286,1652.4285714285713,253.57142857142858
2021-03-24,26876,4651,2130,248,65373,33119.57142857143,1707.4285714285713,253.85714285714286
2021-03-25,27036,4709,1860,228,45641,34640,1735.857142857143,247.42857142857142
2021-03-26,27242,4766,2048,304,41869,35608.71428571428,1785.7142857142858,248.42857142857142
2021-03-27,27259,4791,1567,194,42619,36650.42857142857,1817,249.71428571428572
2021-03-28,27712,4872,1017,131,37014,37569.42857142857,1830,248.71428571428572
2021-03-29,28322,4974,2099,362,9094,36612.57142857143,1858.142857142857,251.28571428571428
2021-03-30,28510,5072,2579,337,30702,38901.71428571428,1900,257.7142857142857
2021-03-31,28463,5053,2209,304,59038,37996.71428571428,1911.2857142857142,265.7142857142857
2021-04-01,28581,5109,2035,313,50659,38713.57142857143,1936.2857142857142,277.85714285714283
